food_code,food_name,scientific_name,food_group,regions_measured,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fiber_g,iron_mg,calcium_mg,zinc_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,thiamine_b1_mg,riboflavin_b2_mg,niacin_b3_mg,vitamin_b6_mg,folate_b9_ug,vitamin_a_retinol_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,vitamin_b12_ug
A001,"Amaranth seed, black",Amaranthus cruentus,Cereals and Millets,1,356.1,9.89,14.59,5.74,59.98,7.02,9.33,181.0,2.66,325.0,374.0,433.0,2.7,0.0,0.04,0.04,0.45,0.5,27.44,0.0,58.67,0.05,1.8,not measured in IFCT 2017
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals and Millets,6,355.9,9.2,13.27,5.56,61.46,7.47,8.02,162.0,2.52,270.0,412.0,413.0,2.81,0.0,0.04,0.04,0.52,0.33,24.65,0.0,53.98,0.06,2.5,not measured in IFCT 2017
A003,Bajra,Pennisetum typhoideum,Cereals and Millets,6,348.0,8.97,10.96,5.43,61.78,11.49,6.42,27.35,2.76,124.0,289.0,365.0,4.11,0.0,0.25,0.2,0.86,0.27,36.11,0.0,5.65,0.1,2.85,not measured in IFCT 2017
A004,Barley,Hordeum vulgare,Cereals and Millets,6,315.7,9.77,10.94,1.3,61.29,15.64,1.56,28.64,1.5,48.97,178.0,268.0,7.56,0.0,0.36,0.18,2.84,0.31,31.58,0.0,0.0,0.01,1.85,not measured in IFCT 2017
A005,Jowar,Sorghum vulgare,Cereals and Millets,6,334.1,9.01,9.97,1.73,67.68,10.22,3.95,27.6,1.96,133.0,274.0,328.0,5.42,0.0,0.35,0.14,2.1,0.28,39.42,0.0,3.96,0.04,43.82,not measured in IFCT 2017
A006,"Maize, dry",Zea mays,Cereals and Millets,6,334.1,9.26,8.8,3.77,64.77,12.24,2.49,8.91,2.27,145.0,279.0,291.0,4.44,0.0,0.33,0.09,2.69,0.34,25.81,0.0,33.6,0.21,2.5,not measured in IFCT 2017
A007,"Maize, tender, local",Zea mays,Cereals and Millets,6,120.0,68.29,3.57,1.4,22.69,3.67,0.71,6.35,0.97,47.62,163.0,167.0,2.24,4.26,0.17,0.12,1.13,0.45,62.96,0.0,42.34,0.05,2.0,not measured in IFCT 2017
A008,"Maize, tender, sweet",Zea mays,Cereals and Millets,4,96.8,74.4,4.16,1.35,16.42,3.3,0.54,6.37,0.77,36.51,121.0,297.0,2.23,5.72,0.1,0.14,1.14,0.38,59.71,0.0,16.94,0.07,1.8,not measured in IFCT 2017
A009,Quinoa,Chenopodium quinoa,Cereals and Millets,1,328.4,10.43,13.11,5.5,53.65,14.66,7.51,198.0,3.31,119.0,212.0,474.0,4.5,0.0,0.83,0.22,1.7,0.21,173.0,0.0,0.0,2.08,2.0,not measured in IFCT 2017
A010,Ragi,Eleusine coracana,Cereals and Millets,5,320.7,10.89,7.16,1.92,66.82,11.18,4.62,364.0,2.53,146.0,210.0,443.0,4.75,0.0,0.37,0.17,1.34,0.05,34.66,0.0,41.46,0.09,3.0,not measured in IFCT 2017
A011,"Rice, flakes",Oryza sativa,Cereals and Millets,6,353.7,10.36,7.44,1.14,76.75,3.46,4.46,9.19,1.49,77.92,195.0,148.0,2.58,0.0,0.12,0.04,1.6,0.02,8.46,0.0,0.0,0.05,1.0,not measured in IFCT 2017
A012,"Rice, puffed",Oryza sativa,Cereals and Millets,6,361.9,9.4,7.47,1.62,77.68,2.56,4.55,15.09,1.45,64.59,152.0,140.0,3.69,0.0,0.11,0.04,1.87,0.07,0.0,0.0,0.0,0.04,1.0,not measured in IFCT 2017
A013,"Rice, raw, brown",Oryza sativa,Cereals and Millets,6,353.7,9.33,9.16,1.24,74.8,4.43,1.02,10.93,1.68,93.91,267.0,199.0,3.64,0.0,0.27,0.06,3.4,0.37,11.51,0.0,0.0,0.62,2.0,not measured in IFCT 2017
A014,"Rice, parboiled, milled",Oryza sativa,Cereals and Millets,6,351.6,10.09,7.81,0.55,77.16,3.74,0.72,8.11,1.08,26.72,140.0,142.0,3.16,0.0,0.17,0.06,2.51,0.22,9.75,0.0,0.0,0.06,1.5,not measured in IFCT 2017
A015,"Rice, raw, milled",Oryza sativa,Cereals and Millets,6,356.4,9.93,7.94,0.52,78.24,2.81,0.65,7.49,1.21,19.3,96.0,108.0,2.34,0.0,0.05,0.05,1.69,0.12,9.32,0.0,0.0,0.04,1.5,not measured in IFCT 2017
A016,Samai,Panicum sumatrense,Cereals and Millets,6,346.3,11.36,10.13,3.89,65.55,7.72,1.26,16.06,1.82,91.41,130.0,105.0,4.77,0.0,0.26,0.05,1.29,0.04,36.2,0.0,3.75,0.28,4.47,not measured in IFCT 2017
A017,Varagu,Setaria italica,Cereals and Millets,5,331.7,14.23,8.92,2.55,66.19,6.39,2.34,15.27,1.65,122.0,101.0,94.0,3.35,0.0,0.29,0.2,1.49,0.07,39.49,0.0,0.0,0.03,3.75,not measured in IFCT 2017
